Song,Year,Month,Day,Lyrics
continuing-story-bungalow-bill,1968,November,22,Yes
while-my-guitar-gently-weeps,1968,November,22,Yes
why-dont-we-do-it-road,1968,November,22,Yes
wild-honey-pie,1968,November,22,Yes
yes-it,1968,November,22,Yes
all-together-now,1969,January,13,No
hey-bulldog,1969,January,13,Yes
its-all-too-much,1969,January,13,Yes
only-northern-song,1969,January,13,Yes
march-meanies,1969,January,17,No
pepperland,1969,January,17,No
pepperland-laid-waste,1969,January,17,No
sea-holes,1969,January,17,No
sea-monsters,1969,January,17,No
sea-time,1969,January,17,No
yer-blues,1969,January,17,Yes
dont-let-me-down,1969,April,11,Yes
get-back,1969,April,11,Yes
old-brown-shoe,1969,May,30,Yes
ballad-john-and-yoko,1969,May,30,Yes
because,1969,September,26,Yes
carry-weight,1969,September,26,Yes
golden-slumbers,1969,September,26,Yes
her-majesty,1969,September,26,Yes
here-comes-sun,1969,September,26,Yes
i-want-you,1969,September,26,Yes
maxwells-silver-hammer,1969,September,26,Yes
mean-mr-mustard,1969,September,26,Yes
oh-darling,1969,September,26,Yes
polythene-pam,1969,September,26,Yes
she-came-through-bathroom-window,1969,September,26,Yes
sun-king,1969,September,26,Yes
end,1969,September,26,Yes
you-really-got-hold-me,1969,September,26,No
come-together,1969,October,6,Yes
something,1969,October,6,Yes
across-universe,1969,December,12,Yes
octopuss-garden,1969,December,26,Yes
let-it-be,1970,March,6,No
long-and-winding-road,1970,May,11,Yes
dig-pony,1970,May,8,Yes
dig-it,1970,May,8,Yes
you-blue,1970,May,8,Yes
i-me-mine,1970,May,8,Yes
ive-got-feeling,1970,May,8,Yes
maggie-mae,1970,May,8,Yes
one-after-909,1970,May,8,Yes
two-us,1970,May,8,Yes
long-tall-sally,1988,March,7,No
matchbox,1988,March,7,Yes
real-love,1988,October,10,Yes
1822,1994,November,30,No
little-rhyme,1994,November,30,No
shot-rhythm-and-blues,1994,November,30,No
beatle-greetings,1994,November,30,No
carol,1994,November,30,Yes
clarabella,1994,November,30,Yes
crinsk-dee-night,1994,November,30,No
crying-waiting-hoping,1994,November,30,No
dear-wack,1994,November,30,No
dont-ever-change,1994,November,30,No
fluff-you,1994,November,30,No
us-you,1994,November,30,Yes
glad-all-over,1994,November,30,No
have-banana,1994,November,30,No
i-forgot-remember-forget,1994,November,30,No
i-got-woman,1994,November,30,No
i-got-find-my-baby,1994,November,30,No
i-just-dont-understand,1994,November,30,No
ill-be-my-way,1994,November,30,No
im-gonna-sit-right-down-and-cry,1994,November,30,No
johnny-b-goode,1994,November,30,No
just-rumour,1994,November,30,No
keep-your-hands-my-baby,1994,November,30,No
lonesome-tears-my-eyes,1994,November,30,No
love-these-goon-shows,1994,November,30,No
lucille,1994,November,30,Yes
memphis-tennessee,1994,November,30,No
nothin-shakin,1994,November,30,No
ooh-my-arms,1994,November,30,No
ooh-my-soul,1994,November,30,No
riding-bus,1994,November,30,No
set-fire-lot,1994,November,30,No
sha-la-la-la-la,1994,November,30,No
so-how-come-no-one-loves-me,1994,November,30,No
soldier-love,1994,November,30,No
some-other-guy,1994,November,30,No
sure-fall-love-you,1994,November,30,No
sweet-little-sixteen,1994,November,30,No
thats-all-right-mama,1994,November,30,No
hippy-hippy-shake,1994,November,30,No
honeymoon-song,1994,November,30,No
know-her-love-her,1994,November,30,No
too-much-monkey-business,1994,November,30,No
your-mother-should-know,1994,November,30,Yes
baby-its-you,1995,March,20,No
aint-she-sweet,1995,November,20,No
besame-mucho,1995,November,20,No
cayenne,1995,November,20,Yes
hallelujah-i-love-her-so,1995,November,20,No
how-do-you-do-it,1995,November,20,No
spite-all-danger,1995,November,20,Yes
leave-my-kitten-alone,1995,November,20,No
lend-me-your-comb,1995,November,20,No
dreamers-do,1995,November,20,Yes
moonlight-bay,1995,November,20,No
my-bonnie,1995,November,20,No
searchin,1995,November,20,No
shout,1995,November,20,Yes
speech-brian-epstein,1995,November,20,No
thatll-be-day,1995,November,20,No
sheik-araby,1995,November,20,No
three-cool-cats,1995,November,20,No
youre-going-lose-girl,1995,November,20,Yes
free-bird,1995,December,4,Yes
12-bar-original,1996,March,18,No
if-youve-got-trouble,1996,March,18,Yes
means-lot,1996,March,18,Yes
beginning,1996,October,28,No
all-things-must-pass,1996,October,28,Yes
come-and-get-it,1996,October,28,Yes
junk,1996,October,28,Yes
mailman-bring-me-no-more-blues,1996,October,28,No
not-guilty,1996,October,28,Yes
rip-it-shake-rattle-and-roll-blue-suede-shoes,1996,October,28,No
step-inside-love-los-paranoias,1996,October,28,Yes
teddy-boy,1996,October,28,Yes
whats-new-mary-jane,1996,October,28,Yes
komm-gib-mir-deine-hand,1963,November,29,Yes
gnik-nus,1969,September,26,No
you-know-what-do,1995,November,20,Yes
you-never-give-me-your-money,1969,September,26,Yes
sie-liebt-dich,1964,March,5,Yes
slow-down,1958,March,7,No
you-me-too-much,1965,August,6,Yes
