Song,Year,Month,Day,Lyrics,Writer
Everybodys_Got_Something_Hide_Except_Me_And_My_Monkey,1968,November,22,Yes,Not found
Glass_Onion,1968,November,22,Yes,Lennon/McCartney
Good_Night,1968,November,22,Yes,Lennon/McCartney
Happiness_Warm_Gun,1968,November,22,Yes,Not found
Helter_Skelter,1968,November,22,Yes,Lennon/McCartney
Honey_Pie,1968,November,22,Yes,Lennon/McCartney
I_Will,1968,November,22,Yes,Lennon/McCartney
Im_So_Tired,1968,November,22,Yes,Not found
Julia,1968,November,22,Yes,Lennon/McCartney
Long_Long_Long,1968,November,22,Yes,Not found
Martha_My_Dear,1968,November,22,Yes,Lennon/McCartney
Mother_Natures_Son,1968,November,22,Yes,Not found
Ob_La_Di_Ob_La_Da,1968,November,22,Yes,Not found
Piggies,1968,November,22,Yes,George Harrison
Revolution_1,1968,November,22,No,Lennon/McCartney
Revolution_9,1968,November,22,No,Lennon/McCartney
Rocky_Raccoon,1968,November,22,Yes,Not found
Savoy_Truffle,1968,November,22,Yes,George Harrison
Sexy_Sadie,1968,November,22,Yes,Lennon/McCartney
Continuing_Story_Bungalow_Bill,1968,November,22,Yes,Not found
While_My_Guitar_Gently_Weeps,1968,November,22,Yes,George Harrison
Why_Dont_We_Do_It_Road,1968,November,22,Yes,Not found
Wild_Honey_Pie,1968,November,22,Yes,Lennon/McCartney
Yes_It,1968,November,22,Yes,Not found
All_Together_Now,1969,January,13,No,Not found
Hey_Bulldog,1969,January,13,Yes,Not found
Its_All_Too_Much,1969,January,13,Yes,Not found
Only_Northern_Song,1969,January,13,Yes,Not found
March_Meanies,1969,January,17,No,Not found
Pepperland,1969,January,17,No,Not found
Pepperland_Laid_Waste,1969,January,17,No,Not found
Sea_Holes,1969,January,17,No,Not found
Sea_Monsters,1969,January,17,No,Not found
Sea_Time,1969,January,17,No,Not found
Yer_Blues,1969,January,17,Yes,Lennon/McCartney
Dont_Let_Me_Down,1969,April,11,Yes,Not found
Get_Back,1969,April,11,Yes,Lennon/McCartney
Old_Brown_Shoe,1969,May,30,Yes,George Harrison
Ballad_John_And_Yoko,1969,May,30,Yes,Not found
Because,1969,September,26,Yes,Lennon/McCartney
Carry_Weight,1969,September,26,Yes,Not found
Golden_Slumbers,1969,September,26,Yes,Lennon/McCartney
Her_Majesty,1969,September,26,Yes,Lennon/McCartney
Here_Comes_Sun,1969,September,26,Yes,Not found
I_Want_You,1969,September,26,Yes,Not found
Maxwells_Silver_Hammer,1969,September,26,Yes,Not found
Mean_Mr_Mustard,1969,September,26,Yes,Not found
Oh_Darling,1969,September,26,Yes,Not found
Polythene_Pam,1969,September,26,Yes,Lennon/McCartney
She_Came_Through_Bathroom_Window,1969,September,26,Yes,Not found
Sun_King,1969,September,26,Yes,Lennon/McCartney
End,1969,September,26,Yes,Not found
You_Really_Got_Hold_Me,1969,September,26,No,Not found
Come_Together,1969,October,6,Yes,Lennon/McCartney
Something,1969,October,6,Yes,George Harrison
Across_Universe,1969,December,12,Yes,Not found
Octopuss_Garden,1969,December,26,Yes,Not found
Let_It_Be,1970,March,6,No,Not found
Long_And_Winding_Road,1970,May,11,Yes,Not found
Dig_Pony,1970,May,8,Yes,Not found
Dig_It,1970,May,8,Yes,Not found
You_Blue,1970,May,8,Yes,Not found
I_Me_Mine,1970,May,8,Yes,George Harrison
Ive_Got_Feeling,1970,May,8,Yes,Not found
Maggie_Mae,1970,May,8,Yes,Not found
One_After_909,1970,May,8,Yes,Lennon/McCartney
Two_Us,1970,May,8,Yes,Not found
Long_Tall_Sally,1988,March,7,No,Not found
Matchbox,1988,March,7,Yes,Not found
Real_Love,1988,October,10,Yes,Not found
1822,1994,November,30,No,Not found
Little_Rhyme,1994,November,30,No,Not found
Shot_Rhythm_And_Blues,1994,November,30,No,Not found
Beatle_Greetings,1994,November,30,No,Not found
Carol,1994,November,30,Yes,Not found
Clarabella,1994,November,30,Yes,Not found
Crinsk_Dee_Night,1994,November,30,No,Not found
Crying_Waiting_Hoping,1994,November,30,No,Not found
Dear_Wack,1994,November,30,No,Not found
Dont_Ever_Change,1994,November,30,No,Not found
Fluff_You,1994,November,30,No,Not found
Us_You,1994,November,30,Yes,Not found
Glad_All_Over,1994,November,30,No,Not found
Have_Banana,1994,November,30,No,Not found
I_Forgot_Remember_Forget,1994,November,30,No,Not found
I_Got_Woman,1994,November,30,No,Not found
I_Got_Find_My_Baby,1994,November,30,No,Not found
I_Just_Dont_Understand,1994,November,30,No,Not found
Ill_Be_My_Way,1994,November,30,No,Not found
Im_Gonna_Sit_Right_Down_And_Cry,1994,November,30,No,Not found
Johnny_B_Goode,1994,November,30,No,Not found
Just_Rumour,1994,November,30,No,Not found
Keep_Your_Hands_My_Baby,1994,November,30,No,Not found
Lonesome_Tears_My_Eyes,1994,November,30,No,Not found
Love_These_Goon_Shows,1994,November,30,No,Not found
Lucille,1994,November,30,Yes,Not found
Memphis_Tennessee,1994,November,30,No,Not found
Nothin_Shakin,1994,November,30,No,Not found
Ooh_My_Arms,1994,November,30,No,Not found
Ooh_My_Soul,1994,November,30,No,Not found
Riding_Bus,1994,November,30,No,Not found
Set_Fire_Lot,1994,November,30,No,Not found
Sha_La_La_La_La,1994,November,30,No,Not found
So_How_Come_No_One_Loves_Me,1994,November,30,No,Not found
Soldier_Love,1994,November,30,No,Not found
Some_Other_Guy,1994,November,30,No,Not found
Sure_Fall_Love_You,1994,November,30,No,Not found
Sweet_Little_Sixteen,1994,November,30,No,Not found
Thats_All_Right_Mama,1994,November,30,No,Not found
Hippy_Hippy_Shake,1994,November,30,No,Not found
Honeymoon_Song,1994,November,30,No,Not found
Know_Her_Love_Her,1994,November,30,No,Not found
Too_Much_Monkey_Business,1994,November,30,No,Not found
Your_Mother_Should_Know,1994,November,30,Yes,Lennon/McCartney
Baby_Its_You,1995,March,20,No,Not found
Aint_She_Sweet,1995,November,20,No,Not found
Besame_Mucho,1995,November,20,No,Not found
Cayenne,1995,November,20,Yes,Not found
Hallelujah_I_Love_Her_So,1995,November,20,No,Not found
How_Do_You_Do_It,1995,November,20,No,Not found
Spite_All_Danger,1995,November,20,Yes,Not found
Leave_My_Kitten_Alone,1995,November,20,No,Not found
Lend_Me_Your_Comb,1995,November,20,No,Not found
Dreamers_Do,1995,November,20,Yes,Not found
Moonlight_Bay,1995,November,20,No,Not found
My_Bonnie,1995,November,20,No,Not found
Searchin,1995,November,20,No,Not found
Shout,1995,November,20,Yes,Not found
Speech_Brian_Epstein,1995,November,20,No,Not found
Thatll_Be_Day,1995,November,20,No,Not found
Sheik_Araby,1995,November,20,No,Not found
Three_Cool_Cats,1995,November,20,No,Not found
Youre_Going_Lose_Girl,1995,November,20,Yes,Not found
Free_Bird,1995,December,4,Yes,Not found
12_Bar_Original,1996,March,18,No,Not found
If_Youve_Got_Trouble,1996,March,18,Yes,Not found
Means_Lot,1996,March,18,Yes,Not found
Beginning,1996,October,28,No,Not found
All_Things_Must_Pass,1996,October,28,Yes,Not found
Come_And_Get_It,1996,October,28,Yes,Not found
Junk,1996,October,28,Yes,Paul McCartney
Mailman_Bring_Me_No_More_Blues,1996,October,28,No,Not found
Not_Guilty,1996,October,28,Yes,George Harrison
Rip_It_Shake_Rattle_And_Roll_Blue_Suede_Shoes,1996,October,28,No,Not found
Step_Inside_Love_Los_Paranoias,1996,October,28,Yes,Not found
Teddy_Boy,1996,October,28,Yes,Not found
Whats_New_Mary_Jane,1996,October,28,Yes,Not found
Komm_Gib_Mir_Deine_Hand,1963,November,29,Yes,Not found
Gnik_Nus,1969,September,26,No,Not found
You_Know_What_Do,1995,November,20,Yes,Not found
You_Never_Give_Me_Your_Money,1969,September,26,Yes,Lennon/McCartney
Sie_Liebt_Dich,1964,March,5,Yes,Not found
Slow_Down,1958,March,7,No,Not found
You_Me_Too_Much,1965,August,6,Yes,Not found
