word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
interactive;2503;6.04;1.3845;4469;NA;NA;NA
kitchen;2504;6.04;1.6898;1489;3299;1543;1959
melbourne;2505;6.04;1.4280;4764;NA;NA;NA
mind;2506;6.04;1.2771;270;303;1114;126
numbers;2507;6.04;1.1421;2427;991;1507;2576
perspective;2508;6.04;1.0294;4670;1990;4357;NA
points;2509;6.04;1.4702;1508;675;442;3591
prevention;2510;6.04;1.2282;NA;3870;4676;NA
professor;2511;6.04;1.4563;4563;1400;321;NA
prospective;2512;6.04;1.2115;NA;NA;4540;NA
prospects;2513;6.04;1.0683;NA;NA;4150;NA
purple;2514;6.04;1.5248;2196;NA;NA;2225
purpose;2515;6.04;1.1599;2904;543;2862;3188
replied;2516;6.04;0.9681;4493;1768;3389;NA
sauce;2517;6.04;1.3991;2516;NA;3676;NA
signing;2518;6.04;1.4841;3091;NA;4586;NA
sofa;2519;6.04;1.3547;4929;NA;NA;NA
supplies;2520;6.04;1.3991;4214;2700;3583;NA
tops;2521;6.04;1.0872;4753;NA;NA;4678
transport;2522;6.04;1.2930;NA;2074;NA;NA
union;2523;6.04;1.3991;2744;585;378;4165
visible;2524;6.04;0.8797;NA;2326;4964;NA
vocal;2525;6.04;1.5513;NA;NA;4647;4931
washington;2526;6.04;1.2115;1697;859;174;NA
words;2527;6.04;1.1945;687;302;1164;251
xp;2528;6.04;1.5113;3022;NA;NA;NA
carriage;2529;6.02;1.2289;NA;4764;NA;NA
beings;2530;6.02;1.2498;NA;2516;NA;NA
colored;2531;6.02;1.7379;NA;3839;NA;NA
considerations;2532;6.02;1.4067;NA;2696;NA;NA
nearest;2533;6.02;1.2498;NA;4902;NA;NA
porch;2534;6.02;1.6006;NA;NA;NA;2794
relate;2535;6.02;1.5206;NA;4051;NA;3583
seventeenth;2536;6.02;1.1813;NA;4697;NA;NA
vibe;2537;6.02;1.4789;NA;NA;NA;2457
1980's;2538;6.02;1.7437;NA;NA;NA;NA
acres;2539;6.02;1.3169;NA;3547;3682;NA
aircraft;2540;6.02;1.4068;NA;3796;2657;NA
amen;2541;6.02;1.8789;2846;NA;NA;4085
basket;2542;6.02;1.0784;2907;NA;NA;NA
blog;2543;6.02;1.4068;231;NA;NA;NA
cards;2544;6.02;1.3013;1305;3875;2592;1997
celebrity;2545;6.02;1.7082;2092;NA;NA;NA
christians;2546;6.02;2.0151;NA;2790;NA;NA
concepts;2547;6.02;1.2856;NA;2161;NA;NA
content;2548;6.02;1.6224;1745;1021;4035;3987
creates;2549;6.02;1.4356;NA;4590;NA;NA
delivery;2550;6.02;1.4356;2847;3024;2580;NA
developing;2551;6.02;1.0971;NA;1628;2522;NA
doll;2552;6.02;1.9430;2430;NA;NA;2642
download;2553;6.02;1.3476;824;NA;NA;NA
eggs;2554;6.02;1.9948;2348;3621;NA;4786
engineers;2555;6.02;1.1337;NA;4116;4235;NA
essential;2556;6.02;0.8919;4742;1079;3616;NA
fixed;2557;6.02;1.0593;2050;1163;NA;4088
float;2558;6.02;1.4068;NA;NA;NA;2258
fridge;2559;6.02;1.1156;3621;NA;NA;NA
fund-raising;2560;6.02;1.7437;NA;NA;NA;NA
inn;2561;6.02;1.2370;4703;NA;NA;NA
jam;2562;6.02;2.0252;1856;NA;NA;1419
japanese;2563;6.02;1.5713;2172;1264;1005;NA
male;2564;6.02;1.3626;2564;1280;3016;3108
monetary;2565;6.02;1.3923;NA;4322;4656;NA
native;2566;6.02;1.4068;NA;1269;2406;NA
newspapers;2567;6.02;1.4637;NA;3368;2798;NA
objectives;2568;6.02;1.2370;NA;2894;NA;NA
pregnancy;2569;6.02;2.2451;NA;3622;NA;NA
presence;2570;6.02;1.0593;4875;763;1928;2627
production;2571;6.02;1.2036;3214;461;569;NA
programs;2572;6.02;1.6349;3849;1232;695;NA
pub;2573;6.02;1.6962;2841;NA;NA;NA
quick;2574;6.02;1.6349;576;2592;2563;857
rare;2575;6.02;1.7201;2899;2120;2495;3508
records;2576;6.02;1.2856;2559;1434;1061;1940
retire;2577;6.02;1.8012;NA;NA;4863;NA
simple;2578;6.02;1.4637;1062;623;1943;860
sophisticated;2579;6.02;1.7553;NA;NA;4179;NA
teams;2580;6.02;1.1692;2746;NA;1368;NA
totally;2581;6.02;1.1156;565;3457;3942;3424
try;2582;6.02;0.9366;238;1017;769;151
unwind;2583;6.02;1.8460;NA;NA;NA;4458
voting;2584;6.02;1.3775;2877;NA;2405;NA
walk;2585;6.02;1.5451;591;1795;1776;212
will;2586;6.02;1.3013;49;49;29;50
windows;2587;6.02;1.3923;1074;2280;2416;1816
wondering;2588;6.02;1.3476;852;NA;NA;1236
writes;2589;6.02;1.3775;NA;2868;1446;NA
xoxo;2590;6.02;1.7082;1871;NA;NA;NA
rains;2591;6.01;1.8722;NA;NA;NA;2663
1990's;2592;6.00;1.5779;NA;NA;NA;NA
act;2593;6.00;1.2936;1119;292;905;671
adapted;2594;6.00;1.4142;NA;3561;NA;NA
alliance;2595;6.00;1.6537;NA;3227;2465;NA
allow;2596;6.00;1.4708;2622;1157;1085;3135
applicable;2597;6.00;1.0302;NA;3829;NA;NA
archives;2598;6.00;1.4425;NA;4712;NA;NA
attend;2599;6.00;0.9689;3178;3180;2667;NA
attending;2600;6.00;1.1066;4246;NA;4225;NA
automatic;2601;6.00;1.4732;NA;4641;NA;2993
automatically;2602;6.00;1.5584;NA;4966;NA;NA
avatar;2603;6.00;1.6288;1193;NA;NA;NA
beans;2604;6.00;1.6537;3168;NA;NA;4537
beliefs;2605;6.00;1.5138;NA;3068;NA;NA
bien;2606;6.00;1.4428;3059;NA;NA;1239
biggest;2607;6.00;1.3248;1225;NA;1583;2480
brew;2608;6.00;1.6330;NA;NA;NA;4408
brook;2609;6.00;1.6413;NA;NA;3539;NA
cambridge;2610;6.00;1.4846;NA;1547;2226;NA
concentrations;2611;6.00;1.2882;NA;3837;NA;NA
conscience;2612;6.00;1.3401;NA;3350;NA;2590
continent;2613;6.00;1.2289;NA;3914;NA;NA
crimson;2614;6.00;1.5138;NA;NA;NA;4237
eighteenth;2615;6.00;1.4142;NA;3360;NA;NA
exactly;2616;6.00;1.7143;1157;1574;2352;1611
extend;2617;6.00;0.9035;NA;3071;939;NA
favor;2618;6.00;2.0603;619;2425;2179;2533
finale;2619;6.00;1.6162;4007;NA;NA;NA
find;2620;6.00;1.5779;214;240;419;129
fireplace;2621;6.00;1.8844;NA;NA;3681;NA
fixing;2622;6.00;1.0690;4458;NA;NA;NA
glance;2623;6.00;1.1780;NA;4368;NA;3106
global;2624;6.00;1.4846;1495;2191;1560;NA
ha;2625;6.00;1.5649;411;3781;NA;434
hands;2626;6.00;1.4846;977;510;1542;265
heating;2627;6.00;1.5779;NA;4451;NA;NA
indeed;2628;6.00;1.1952;1714;469;1360;2896
integral;2629;6.00;1.3093;NA;4699;NA;NA
itunes;2630;6.00;1.8952;1145;NA;NA;NA
japan;2631;6.00;1.3093;2433;1481;982;4945
jenny;2632;6.00;1.6811;NA;NA;NA;4351
king's;2633;6.00;1.8626;NA;2652;NA;NA
lawn;2634;6.00;1.2289;3868;NA;4398;4020
lighting;2635;6.00;1.4428;4756;NA;2353;NA
likewise;2636;6.00;1.2454;NA;2816;NA;NA
lmfao;2637;6.00;2.1285;1001;NA;NA;NA
make;2638;6.00;0.9897;86;127;127;61
meaning;2639;6.00;1.0498;2640;747;2844;1462
mega;2640;6.00;1.6413;3985;NA;NA;NA
metals;2641;6.00;1.3540;NA;4125;NA;NA
mucho;2642;6.00;1.2617;3828;NA;NA;3016
nations;2643;6.00;1.5518;NA;1011;681;4204
network;2644;6.00;1.2778;991;1536;1136;NA
olive;2645;6.00;1.1429;4172;NA;NA;NA
opened;2646;6.00;1.2289;2462;1299;1312;1632
oregon;2647;6.00;1.1780;4520;NA;4439;NA
owns;2648;6.00;1.2936;NA;NA;2063;NA
participants;2649;6.00;1.0302;NA;3415;3847;NA
pilot;2650;6.00;1.0690;3948;4983;3377;NA
principle;2651;6.00;1.4846;NA;818;3855;NA
religion;2652;6.00;1.8295;3865;773;3056;2360
result;2653;6.00;1.1606;2961;360;888;NA
service;2654;6.00;1.1606;710;354;150;3671
sights;2655;6.00;1.4983;NA;NA;NA;3502
sites;2656;6.00;1.1606;1782;2198;1885;NA
sponsor;2657;6.00;1.4142;NA;NA;4896;NA
started;2658;6.00;1.0690;560;1057;947;572
stereo;2659;6.00;1.2936;NA;NA;NA;3145
stores;2660;6.00;0.9689;2630;3589;999;NA
successor;2661;6.00;1.4428;NA;NA;4616;NA
survive;2662;6.00;1.7957;3209;4197;2973;977
surviving;2663;6.00;1.7496;NA;NA;2199;NA
today's;2664;6.00;0.9897;NA;NA;NA;NA
tuned;2665;6.00;0.9689;3629;NA;NA;NA
virgin;2666;6.00;1.5779;2189;NA;NA;3250
vista;2667;6.00;1.3851;3577;NA;NA;NA
walked;2668;6.00;0.9897;1825;1945;2684;716
2-car;2669;5.98;1.4213;NA;NA;NA;NA
action;2670;5.98;1.4213;1264;326;757;1566
afternoon;2671;5.98;1.2370;831;2376;1645;2138
anytime;2672;5.98;1.2534;3042;NA;NA;1718
attempting;2673;5.98;0.9998;NA;4560;NA;NA
audience;2674;5.98;1.4356;3911;2071;1332;NA
august;2675;5.98;1.4356;4031;1081;543;NA
author;2676;5.98;1.3923;3084;904;362;NA
awww;2677;5.98;1.7784;1268;NA;NA;NA
bbc;2678;5.98;1.2534;1381;NA;NA;NA
began;2679;5.98;0.9581;NA;452;550;1531
biography;2680;5.98;1.4497;NA;NA;3013;NA
broadcast;2681;5.98;1.2856;4704;NA;2317;NA
canada;2682;5.98;1.5318;1176;1758;1720;NA
communities;2683;5.98;1.3169;NA;1935;2600;NA
contributor;2684;5.98;1.3476;NA;NA;1626;NA
creatures;2685;5.98;1.3775;NA;4230;NA;3733
declaration;2686;5.98;1.2204;NA;3111;NA;NA
dell;2687;5.98;1.4068;3776;NA;NA;NA
dialogue;2688;5.98;1.2370;NA;4045;4160;NA
drum;2689;5.98;1.3775;NA;NA;NA;1881
ebook;2690;5.98;1.4356;4192;NA;NA;NA
egg;2691;5.98;1.4356;1688;4556;NA;NA
explained;2692;5.98;1.3169;NA;1571;2818;NA
fabric;2693;5.98;1.0971;4616;NA;NA;NA
father-in-law;2694;5.98;1.8125;NA;NA;NA;NA
feature;2695;5.98;1.1692;2398;1985;2770;NA
ferry;2696;5.98;1.2856;NA;NA;3530;NA
fingertips;2697;5.98;1.1337;NA;NA;NA;4648
flash;2698;5.98;1.0398;1770;NA;NA;1918
flights;2699;5.98;1.8897;4414;NA;3352;NA
folk;2700;5.98;1.4356;3899;3833;3793;4027
gathered;2701;5.98;1.3169;NA;3032;4441;3924
grammys;2702;5.98;1.4497;4637;NA;NA;NA
heh;2703;5.98;1.2696;2673;NA;NA;3553
hill;2704;5.98;1.3923;1547;1287;883;1114
http;2705;5.98;1.2534;NA;4268;NA;NA
identity;2706;5.98;1.1156;3437;1569;3481;NA
informal;2707;5.98;1.4497;NA;4977;NA;NA
ireland;2708;5.98;1.3626;4067;2192;3074;NA
java;2709;5.98;1.5583;4683;NA;NA;NA
july;2710;5.98;1.6962;4224;890;248;3741
keys;2711;5.98;1.2036;2120;NA;NA;1577
lego;2712;5.98;1.2696;4949;NA;NA;NA
lessons;2713;5.98;1.3775;2860;4002;3955;3364
looks;2714;5.98;1.3775;299;2053;1728;650
macbook;2715;5.98;1.5185;1922;NA;NA;NA
mcdonalds;2716;5.98;2.3342;3831;NA;NA;NA
meets;2717;5.98;1.0971;3882;NA;3296;3125
messages;2718;5.98;0.9366;2447;4203;3880;NA
national;2719;5.98;1.1516;1113;257;135;NA
netherlands;2720;5.98;1.3323;NA;4950;4722;NA
nintendo;2721;5.98;1.7319;3817;NA;NA;NA
normal;2722;5.98;1.0784;1467;655;2435;3062
nyc;2723;5.98;1.5842;1249;NA;922;NA
organization;2724;5.98;1.1337;NA;710;758;NA
originally;2725;5.98;1.1337;NA;2364;3164;NA
ours;2726;5.98;1.4356;4724;NA;NA;2400
ourselves;2727;5.98;1.3323;3933;1736;3617;1580
pairs;2728;5.98;1.1692;NA;4500;NA;NA
pic;2729;5.98;1.1692;629;NA;NA;NA
planned;2730;5.98;1.2696;2713;2870;1022;2298
pop;2731;5.98;1.2370;1245;NA;1386;712
prose;2732;5.98;1.5050;NA;4610;NA;NA
recordings;2733;5.98;1.2370;NA;NA;3342;NA
represented;2734;5.98;1.1692;NA;1274;1922;NA
robin;2735;5.98;1.2204;3542;NA;2653;3929
schools;2736;5.98;1.4356;2593;742;680;NA
singapore;2737;5.98;1.7899;4672;NA;NA;NA
sounds;2738;5.98;1.2036;398;2664;2774;1005
specialized;2739;5.98;1.3323;NA;4964;NA;NA
store;2740;5.98;0.9792;654;2151;1145;1350
sweater;2741;5.98;1.4776;4275;NA;NA;NA
tonight's;2742;5.98;1.4068;NA;NA;NA;NA
train;2743;5.98;1.4913;950;2033;1751;635
triple;2744;5.98;1.1337;4713;NA;NA;3307
wing;2745;5.98;1.1516;4892;3399;3603;3047
faire;2746;5.98;1.5068;NA;NA;NA;3849
lasts;2747;5.98;1.7617;NA;NA;NA;3181
nana;2748;5.98;1.7617;NA;NA;NA;3914
precisely;2749;5.98;1.2827;NA;2518;NA;NA
probable;2750;5.98;1.3306;NA;3001;NA;NA
refer;2751;5.98;1.1085;NA;2257;NA;NA
spoon;2752;5.98;1.5477;NA;NA;NA;4277
similarly;2753;5.98;1.0816;NA;2136;NA;NA
glimpse;2754;5.98;1.1701;NA;NA;NA;4445
souls;2755;5.98;1.7130;NA;3582;NA;1144
above;2756;5.96;0.9026;2102;256;941;493
academic;2757;5.96;1.5644;NA;2112;2893;NA
allowed;2758;5.96;1.7375;2340;974;1162;3618
assistance;2759;5.96;1.4280;NA;1703;2656;NA
authorized;2760;5.96;1.5513;NA;4748;NA;NA
bacon;2761;5.96;2.0698;2006;NA;NA;NA
bay;2762;5.96;1.4978;1686;2241;1272;2066
bf;2763;5.96;1.6283;2765;NA;NA;NA
body;2764;5.96;1.0294;450;262;1207;323
collected;2765;5.96;1.1599;NA;2187;4314;NA
convinced;2766;5.96;0.9681;4487;3015;3821;4516
destined;2767;5.96;1.4563;NA;NA;NA;4548
discuss;2768;5.96;1.2282;3307;2321;2047;NA
driven;2769;5.96;1.2771;NA;2396;3904;3305
everyone's;2770;5.96;1.2610;NA;NA;NA;NA
everything;2771;5.96;1.2930;386;803;964;161
fav;2772;5.96;1.9479;1431;NA;NA;NA
features;2773;5.96;1.2115;2887;1149;2733;NA
flickr;2774;5.96;1.1945;3524;NA;NA;NA
french;2775;5.96;1.5381;1348;460;826;3099
gig;2776;5.96;1.3991;2700;NA;NA;NA
gracias;2777;5.96;1.5381;4196;NA;NA;NA
gym;2778;5.96;1.5113;942;NA;NA;NA
head;2779;5.96;1.0683;330;300;568;158
heels;2780;5.96;1.1241;3450;NA;NA;2624
hundreds;2781;5.96;1.6655;3777;3366;1783;NA
including;2782;5.96;0.9026;2028;506;282;NA
islanders;2783;5.96;1.2930;NA;NA;4654;NA
jeep;2784;5.96;1.7375;NA;NA;NA;4418
job;2785;5.96;1.7257;339;912;522;922
largely;2786;5.96;1.0294;NA;1476;2039;NA
made;2787;5.96;1.0683;193;87;100;176
mambo;2788;5.96;1.7257;NA;NA;NA;3711
match;2789;5.96;0.9889;1665;3540;1673;2203
memoir;2790;5.96;1.2447;NA;NA;3737;NA
mighty;2791;5.96;1.3087;2710;4242;NA;1312
mmmmm;2792;5.96;1.8622;4608;NA;NA;NA
net;2793;5.96;1.0294;1763;1700;477;2824
netflix;2794;5.96;1.8731;4070;NA;NA;NA
players;2795;5.96;1.6157;2217;4284;743;3204
potentially;2796;5.96;1.5113;NA;NA;4783;NA
presently;2797;5.96;1.2610;NA;4327;NA;NA
proof;2798;5.96;1.0683;2962;1973;4903;2069
reaches;2799;5.96;1.3696;NA;4344;NA;NA
reflecting;2800;5.96;1.2282;NA;NA;4661;NA
related;2801;5.96;1.2610;2468;670;1084;NA
releases;2802;5.96;1.4702;4140;NA;NA;NA
reveal;2803;5.96;1.3547;NA;3515;NA;3015
reveals;2804;5.96;1.4702;NA;4204;NA;NA
rocks;2805;5.96;1.4841;1730;2637;NA;1259
roommate;2806;5.96;1.5513;4976;NA;NA;NA
season;2807;5.96;1.1421;544;2102;360;1975
selection;2808;5.96;1.2930;4627;1764;3054;NA
ship;2809;5.96;1.2282;1807;1436;3096;1489
ships;2810;5.96;1.0093;NA;2004;4621;3453
similar;2811;5.96;1.0872;2920;440;1077;NA
space;2812;5.96;1.0093;571;614;724;740
stadium;2813;5.96;1.5774;4613;NA;2187;NA
starts;2814;5.96;1.1945;1061;4745;2341;959
taught;2815;5.96;1.4563;3674;1831;2286;1281
world's;2816;5.96;1.3395;NA;4005;NA;NA
writer;2817;5.96;1.5381;1859;1721;232;NA
yep;2818;5.96;1.6655;1351;NA;NA;4462
justify;2819;5.96;1.3379;NA;4334;NA;3844
pupil;2820;5.96;1.3838;NA;4447;NA;NA
spreading;2821;5.96;1.3064;NA;NA;NA;3956
wales;2822;5.96;1.4994;NA;4131;NA;NA
whoo;2823;5.96;1.6951;NA;NA;NA;2463
deeds;2824;5.96;1.3202;NA;4991;NA;4797
exhibit;2825;5.96;1.2541;NA;3770;NA;NA
fiddle;2826;5.96;1.7254;NA;NA;NA;4801
exceed;2827;5.96;1.5174;NA;4839;NA;NA
3d;2828;5.94;1.6088;NA;NA;NA;NA
alternative;2829;5.94;1.3911;3603;1714;2322;NA
approach;2830;5.94;1.1678;4478;622;1451;4601
awe;2831;5.94;2.0938;4655;NA;NA;NA
ballet;2832;5.94;1.5832;NA;NA;1725;NA
begins;2833;5.94;1.1502;2330;2091;1831;1513
building;2834;5.94;1.1141;650;640;433;1793
business;2835;5.94;1.4626;416;339;97;1134
carpet;2836;5.94;1.1502;2891;NA;NA;3921
chick;2837;5.94;1.6464;1593;NA;NA;1444
choose;2838;5.94;1.1851;1522;1900;2418;868
consent;2839;5.94;1.2191;NA;2862;NA;NA
continental;2840;5.94;1.1141;NA;4689;4181;NA
correspondence;2841;5.94;1.3157;NA;3136;NA;NA
custom;2842;5.94;0.9127;1696;2808;NA;NA
decided;2843;5.94;1.3911;1089;1162;1100;2565
diary;2844;5.94;1.1502;NA;4940;2518;NA
echo;2845;5.94;1.2357;NA;NA;NA;2374
elevation;2846;5.94;1.5174;NA;4795;NA;NA
european;2847;5.94;1.1678;4005;841;868;NA
exports;2848;5.94;1.2191;NA;3718;3882;NA
finds;2849;5.94;1.2521;2627;2426;3254;2958
forum;2850;5.94;1.2521;2496;NA;3099;NA
framework;2851;5.94;1.0577;NA;2509;NA;NA
frank;2852;5.94;1.3001;3134;2511;655;3972
gather;2853;5.94;1.0768;NA;NA;NA;2098
germany;2854;5.94;1.5703;3361;1076;1098;NA
image;2855;5.94;1.6587;2108;995;1723;2366
impression;2856;5.94;1.0768;NA;2360;4505;NA
include;2857;5.94;1.2022;3228;750;443;NA
inherent;2858;5.94;1.3763;NA;4249;NA;NA
intention;2859;5.94;1.2843;NA;2546;NA;NA
investor;2860;5.94;1.3001;NA;NA;3470;NA
jet;2861;5.94;1.6340;2928;NA;4193;2776
joyce;2862;5.94;1.5174;NA;NA;2650;NA
kings;2863;5.94;1.5308;2960;2949;3735;1820
knew;2864;5.94;1.3001;745;512;844;289
larger;2865;5.94;1.5308;NA;897;1740;NA
letter;2866;5.94;1.0956;1198;519;984;1194
listen;2867;5.94;1.4344;539;2833;3893;361
looking;2868;5.94;0.9775;215;777;772;294
mba;2869;5.94;1.8340;NA;NA;2498;NA
member;2870;5.94;1.1141;2164;797;269;NA
men;2871;5.94;1.3911;608;131;496;521
movement;2872;5.94;0.9348;3350;555;1428;3889
nation's;2873;5.94;1.5440;NA;NA;NA;NA
obama;2874;5.94;2.1610;488;NA;NA;NA
ok;2875;5.94;1.7310;221;NA;NA;750
oooh;2876;5.94;1.7192;2857;NA;NA;906
option;2877;5.94;1.3911;1473;3429;2526;NA
phoenix;2878;5.94;1.6088;3284;NA;3158;NA
player;2879;5.94;1.6214;1505;4963;1062;2041
portfolio;2880;5.94;1.4344;NA;NA;4653;NA
preparations;2881;5.94;1.4057;NA;4525;NA;NA
presidential;2882;5.94;1.5174;NA;4939;1261;NA
prom;2883;5.94;1.3763;4876;NA;NA;NA
proper;2884;5.94;1.3911;2979;932;3883;3696
pulse;2885;5.94;1.3311;NA;4070;3699;4579
reality;2886;5.94;1.6464;1619;1095;2223;1072
regularly;2887;5.94;0.8668;NA;3811;4075;NA
reservations;2888;5.94;1.4626;NA;NA;3186;NA
salmon;2889;5.94;1.7072;NA;NA;4856;NA
scene;2890;5.94;1.3311;1609;1364;1315;934
societies;2891;5.94;1.3614;NA;2283;NA;NA
submitted;2892;5.94;1.3001;NA;3822;NA;NA
substantial;2893;5.94;1.0956;NA;2418;3214;NA
swift;2894;5.94;1.2683;1100;NA;NA;3828
technique;2895;5.94;0.9982;NA;1830;4721;NA
thnx;2896;5.94;1.6088;NA;NA;NA;NA
thx;2897;5.94;1.5174;1320;NA;NA;NA
tide;2898;5.94;1.2357;NA;4789;NA;1787
trends;2899;5.94;1.2843;4336;3807;3607;NA
visual;2900;5.94;1.6832;NA;2301;4379;NA
wallet;2901;5.94;1.0577;4862;NA;NA;NA
wear;2902;5.94;1.3911;846;3010;2717;773
formation;2903;5.94;1.2521;NA;1205;NA;NA
cloth;2904;5.94;1.1256;NA;3005;NA;NA
delicate;2905;5.94;1.5331;NA;4111;NA;NA
echoes;2906;5.94;1.3135;NA;NA;NA;3083
geography;2907;5.94;1.4202;NA;4920;NA;NA
processing;2908;5.94;1.4055;NA;2362;NA;NA
swinging;2909;5.94;1.4055;NA;NA;NA;3244
1970's;2910;5.92;1.6517;NA;NA;NA;NA
aides;2911;5.92;1.3827;NA;NA;2670;NA
bank;2912;5.92;1.6268;1186;814;379;1818
banks;2913;5.92;1.2428;3085;1752;1138;3155
beer;2914;5.92;2.3891;839;4924;3960;1413
boobs;2915;5.92;2.1366;4617;NA;NA;NA
capital;2916;5.92;1.2428;3384;641;799;NA
chapters;2917;5.92;1.1753;NA;2574;NA;NA
chicks;2918;5.92;1.8499;3044;NA;NA;1845
chiefs;2919;5.92;1.3974;NA;4752;NA;NA
christianity;2920;5.92;2.2663;NA;2554;NA;NA
citizen;2921;5.92;1.3827;NA;3541;4066;NA
collections;2922;5.92;1.6517;NA;4784;4538;NA
conclude;2923;5.92;1.3827;NA;3823;NA;NA
constant;2924;5.92;1.1400;NA;997;4670;3194
covered;2925;5.92;1.0069;2337;1260;2314;1926
devices;2926;5.92;1.1753;NA;2918;3720;NA
diagram;2927;5.92;1.2095;NA;3490;NA;NA
directors;2928;5.92;1.3827;NA;3855;1203;NA
doubtless;2929;5.92;1.5365;NA;4612;NA;NA
equity;2930;5.92;1.6762;NA;4205;2388;NA
fields;2931;5.92;1.2428;NA;1448;2880;1757
florence;2932;5.92;1.8609;NA;NA;2652;NA
forecast;2933;5.92;1.1220;3651;NA;NA;NA
get;2934;5.92;1.0850;35;213;134;35
group;2935;5.92;1.2095;757;234;179;3079
guy;2936;5.92;1.3377;347;4495;1640;666
hah;2937;5.92;1.6640;2566;NA;NA;2640
harvard;2938;5.92;1.7825;NA;3438;1133;NA
historic;2939;5.92;1.5758;NA;4584;2428;NA
i;2940;5.92;1.3377;2;18;35;2
laboratory;2941;5.92;1.7124;NA;2390;3349;NA
linux;2942;5.92;1.5628;3870;NA;NA;NA
opens;2943;5.92;1.2752;2997;NA;2872;4058
orlando;2944;5.92;1.4119;3093;NA;4425;NA
pants;2945;5.92;1.1400;1420;NA;NA;1650
patterns;2946;5.92;1.0660;NA;1555;4319;NA
private;2947;5.92;1.3529;1953;584;391;2331
publishing;2948;5.92;1.1753;NA;3250;2434;NA
raining;2949;5.92;2.1650;2007;NA;NA;2333
residential;2950;5.92;1.4405;NA;NA;3299;NA
retirement;2951;5.92;2.1174;NA;4785;1376;NA
runnin;2952;5.92;1.4546;NA;NA;NA;1486
salon;2953;5.92;1.3679;NA;NA;NA;NA
sends;2954;5.92;0.9223;4855;NA;NA;4315
shorts;2955;5.92;1.2591;3599;NA;NA;NA
shown;2956;5.92;1.0660;NA;454;1152;2681
skinny;2957;5.92;1.5232;3032;NA;NA;3840
solid;2958;5.92;1.1220;2651;1803;3511;2659
stoked;2959;5.92;1.7004;3907;NA;NA;NA
substantially;2960;5.92;1.3068;NA;4969;NA;NA
teen;2961;5.92;1.9361;2220;NA;NA;NA
theatrical;2962;5.92;1.2752;NA;NA;4979;NA
toyota;2963;5.92;1.4824;4359;NA;NA;NA
translated;2964;5.92;1.0850;NA;2937;4565;NA
tribe;2965;5.92;1.3679;NA;4175;NA;NA
umbrella;2966;5.92;1.2911;4219;NA;NA;NA
vienna;2967;5.92;1.7710;NA;NA;4760;NA
views;2968;5.92;1.0069;3476;1354;2061;NA
viva;2969;5.92;1.7124;NA;NA;NA;4109
washed;2970;5.92;1.5497;4729;NA;NA;2279
wholly;2971;5.92;1.1400;NA;2827;NA;NA
alternatives;2972;5.92;1.4696;NA;4929;NA;NA
applies;2973;5.92;1.3360;NA;3899;NA;NA
generated;2974;5.92;1.2884;NA;3165;NA;NA
merchant;2975;5.92;1.1518;NA;3973;NA;NA
missionary;2976;5.92;1.9022;NA;4472;NA;NA
vine;2977;5.92;1.2721;NA;NA;NA;4066
vive;2978;5.91;1.3416;NA;NA;NA;4815
add;2979;5.90;0.9742;758;1276;1595;2394
addition;2980;5.90;1.2976;NA;694;682;NA
alike;2981;5.90;1.5152;NA;3630;NA;NA
attributed;2982;5.90;1.4321;NA;3578;3315;NA
blu-ray;2983;5.90;1.3887;NA;NA;NA;NA
both;2984;5.90;1.0351;476;117;154;550
brought;2985;5.90;1.3286;1438;426;909;903
buyers;2986;5.90;1.1650;NA;NA;3418;NA
chillin;2987;5.90;1.6933;1350;NA;NA;3624
co-op;2988;5.90;1.3439;NA;NA;NA;NA
conception;2989;5.90;1.3286;NA;2344;NA;NA
conclusions;2990;5.90;1.2164;NA;2812;NA;NA
considered;2991;5.90;1.0738;3689;485;1249;NA
daughter-in-law;2992;5.90;1.5551;NA;NA;NA;NA
diaries;2993;5.90;1.3887;3701;NA;NA;NA
dividend;2994;5.90;1.8979;NA;NA;2699;NA
doe;2995;5.90;1.6444;4058;NA;NA;2048
establish;2996;5.90;1.5152;NA;1798;3150;NA
exist;2997;5.90;1.6812;3408;1355;4295;2336
existence;2998;5.90;1.2495;NA;843;4984;2990
expect;2999;5.90;0.9742;1611;1695;1339;1691
fact;3000;5.90;1.3286;997;208;737;939
featured;3001;5.90;1.0738;2778;NA;4549;NA
feel;3002;5.90;1.1294;140;607;610;71
gin;3003;5.90;1.8098;NA;NA;NA;2876
grew;3004;5.90;1.3286;4178;2000;1969;1676
hand;3005;5.90;1.0738;475;209;912;201
hosting;3006;5.90;1.3887;2486;NA;NA;NA
legacy;3007;5.90;1.6067;NA;NA;2814;NA
letters;3008;5.90;1.4178;3459;884;1117;2136
lip;3009;5.90;1.0738;3842;NA;NA;2513
lolz;3010;5.90;1.5551;2918;NA;NA;NA
magazine;3011;5.90;1.6690;1743;2882;675;2953
majority;3012;5.90;1.1112;4945;1171;1327;NA
mall;3013;5.90;1.4033;1509;NA;4746;3066
man;3014;5.90;1.4033;72;108;285;78
modest;3015;5.90;1.4178;NA;4962;3362;NA
naked;3016;5.90;2.2879;1317;4908;NA;1343
neighbors;3017;5.90;1.5940;3194;NA;2764;3586
nokia;3018;5.90;1.3740;3626;NA;NA;NA
notebook;3019;5.90;1.3887;4787;NA;798;NA
